id,conf,year,times,x,y,
257,InfoVis,2012,1,-4.2758713,-80.435,
278,SciVis,2012,1,-42.99458,6.0451922,
256,InfoVis,2012,2,-50.591576,-11.912642,
609,VAST,2010,3,-22.480536,-27.504547,
503,VAST,2011,2,-19.05687,-27.02079,
382,InfoVis,2011,4,-4.698744,-55.422356,
1211,SciVis,2005,7,-4.5535345,-59.476368,
70,InfoVis,2014,0,-37.00374,-12.282762,
56,InfoVis,2014,0,-28.766108,-37.77496,
366,VAST,2012,1,-21.88883,18.465302,
160,SciVis,2013,3,-14.450783,-20.608345,
524,InfoVis,2010,10,-6.3518414,-18.015038,
242,InfoVis,2012,1,-6.026365,-17.87363,
63,InfoVis,2014,0,-5.482725,-17.106955,
383,InfoVis,2011,10,-7.18888,-18.276192,
711,SciVis,2009,4,9.871102,-29.47838,
52,VAST,2014,0,9.333229,-29.50543,
1286,SciVis,2005,16,-26.489502,23.133339,
983,SciVis,2007,7,-21.736609,21.40239,
1350,SciVis,2004,13,-23.425869,20.56715,
1820,SciVis,2000,4,-22.19436,20.04105,
586,SciVis,2010,14,-11.799973,-14.910805,
157,SciVis,2013,1,-12.767307,-13.306861,
457,SciVis,2011,9,-12.271993,-11.321736,
1059,InfoVis,2006,37,-34.73951,-58.616776,
260,InfoVis,2012,0,-22.29672,-58.52447,
664,InfoVis,2009,6,-3.9284928,-26.085005,
1241,SciVis,2005,1,-5.0230002,-24.139427,
553,InfoVis,2010,3,-5.618418,-23.671738,
193,InfoVis,2013,3,-8.432873,-48.875698,
324,VAST,2012,2,-9.952271,-49.628654,
1863,SciVis,2000,2,-9.85986,-24.945715,
490,VAST,2011,1,-12.3238125,-44.700333,
338,VAST,2012,3,-8.968843,-48.445667,
32,VAST,2014,0,-21.315432,-36.021175,
1121,SciVis,2006,16,-21.988884,-36.539658,
519,VAST,2011,2,-36.831867,-54.97483,
816,InfoVis,2008,1,-37.90193,-51.824142,
167,InfoVis,2013,1,-26.178535,-0.60011905,
184,InfoVis,2013,3,-5.7491913,-15.76452,
1151,VAST,2006,12,-30.492216,-71.8592,
179,VAST,2013,2,-30.927988,-52.947758,
1289,InfoVis,2004,17,-34.698364,-53.39044,
386,InfoVis,2011,1,-55.956024,-50.387875,
49,VAST,2014,0,-31.692581,-51.623707,
335,VAST,2012,1,2.4745402,-27.881199,
33,VAST,2014,0,-26.42619,-56.47356,
765,VAST,2009,4,-26.451189,-56.513477,
619,VAST,2010,2,-9.845055,-24.93113,
821,InfoVis,2008,11,-30.261162,-64.47948,
672,InfoVis,2009,4,-9.721634,-80.21132,
146,VAST,2013,2,-25.450155,-54.742863,
674,InfoVis,2009,9,-30.829102,-60.808994,
1588,InfoVis,2002,14,-11.835607,-79.20634,
164,InfoVis,2013,0,-9.841123,-79.76208,
755,VAST,2009,1,-29.58126,-64.79307,
745,VAST,2009,2,0.8655943,-79.58385,
35,VAST,2014,0,-44.111115,-23.846882,
1494,InfoVis,2003,14,-26.92148,-8.134255,
658,InfoVis,2009,4,-33.810028,-62.308353,
43,VAST,2014,0,-35.309166,-62.182835,
1379,InfoVis,2004,6,-6.887586,-76.83997,
627,VAST,2010,2,-39.156796,-67.66988,
531,InfoVis,2010,5,-43.843376,-24.522089,
1147,VAST,2006,5,-12.902618,-80.41507,
1027,VAST,2007,0,-12.607463,-79.93215,
800,InfoVis,2008,2,-8.250384,-64.510826,
618,VAST,2010,3,-25.03037,-66.72375,
208,VAST,2013,3,-40.95954,-57.051895,
221,VAST,2013,1,-40.0658,-57.314476,
40,VAST,2014,0,-55.476578,-39.5252,
1879,InfoVis,1999,2,-56.153805,-39.738594,
603,SciVis,2010,17,-26.016508,-22.537958,
1196,InfoVis,2005,4,-29.664238,-21.73312,
46,VAST,2014,0,-27.457361,-21.439342,
48,VAST,2014,0,-26.592731,-21.749708,
850,SciVis,2008,6,-23.667803,-22.990236,
41,VAST,2014,0,-12.260733,-16.285654,
1195,InfoVis,2005,6,4.1065826,-61.542786,
954,SciVis,2007,3,12.279316,-20.896082,
1269,SciVis,2005,2,12.324555,-19.405796,
883,VAST,2008,8,-3.5972924,-55.05413,
205,VAST,2013,0,-12.239526,-68.57621,
162,InfoVis,2013,1,1.3543787,-52.582657,
1668,InfoVis,2002,10,5.3939443,-54.909927,
742,VAST,2009,5,-5.4242597,-38.541092,
325,VAST,2012,1,-6.199845,-37.996883,
680,InfoVis,2009,3,-39.122444,-36.552612,
377,InfoVis,2011,4,-34.703476,-57.78161,
